Horario,Fecha,Sorteo,Numero
manana,2022-06-06T12:55:00,19390,8
mediaTarde,2022-06-06T16:30:00,19391,83
tarde,2022-06-06T19:30:00,19392,59
manana,2022-06-07T12:55:00,19393,18
mediaTarde,2022-06-07T16:30:00,19394,57
tarde,2022-06-07T19:30:00,19395,65
manana,2022-06-08T12:55:00,19396,1
mediaTarde,2022-06-08T16:30:00,19397,55
tarde,2022-06-08T19:30:00,19398,62
manana,2022-06-09T12:55:00,19399,61
mediaTarde,2022-06-09T16:30:00,19400,33
tarde,2022-06-09T19:30:00,19401,62
manana,2022-06-10T12:55:00,19402,32
mediaTarde,2022-06-10T16:30:00,19403,44
tarde,2022-06-10T19:30:00,19404,84
manana,2022-06-11T12:55:00,19405,34
mediaTarde,2022-06-11T16:30:00,19406,81
tarde,2022-06-11T19:30:00,19407,35
manana,2022-06-12T12:55:00,19408,19
mediaTarde,2022-06-12T16:30:00,19409,23
tarde,2022-06-12T19:30:00,19410,46
manana,2022-06-13T12:55:00,19411,71
mediaTarde,2022-06-13T16:30:00,19412,62
tarde,2022-06-13T19:30:00,19413,26
manana,2022-06-14T12:55:00,19414,97
mediaTarde,2022-06-14T16:30:00,19415,95
tarde,2022-06-14T19:30:00,19416,31
manana,2022-06-15T12:55:00,19417,38
mediaTarde,2022-06-15T16:30:00,19418,7
tarde,2022-06-15T19:30:00,19419,6
manana,2022-06-16T12:55:00,19420,20
mediaTarde,2022-06-16T16:30:00,19421,8
tarde,2022-06-16T19:30:00,19422,6
manana,2022-06-17T12:55:00,19423,40
mediaTarde,2022-06-17T16:30:00,19424,49
tarde,2022-06-17T19:30:00,19425,22
manana,2022-06-18T12:55:00,19426,99
mediaTarde,2022-06-18T16:30:00,19427,92
tarde,2022-06-18T19:30:00,19428,17
manana,2022-06-19T12:55:00,19429,87
mediaTarde,2022-06-19T16:30:00,19430,47
tarde,2022-06-19T19:30:00,19431,39
manana,2022-06-20T12:55:00,19432,12
mediaTarde,2022-06-20T16:30:00,19433,0
tarde,2022-06-20T19:30:00,19434,62
manana,2022-06-21T12:55:00,19435,92
mediaTarde,2022-06-21T16:30:00,19436,72
tarde,2022-06-21T19:30:00,19437,52
manana,2022-06-22T12:55:00,19438,99
mediaTarde,2022-06-22T16:30:00,19439,5
tarde,2022-06-22T19:30:00,19440,21
manana,2022-06-23T12:55:00,19441,98
mediaTarde,2022-06-23T16:30:00,19442,40
tarde,2022-06-23T19:30:00,19443,32
manana,2022-06-24T12:55:00,19444,78
mediaTarde,2022-06-24T16:30:00,19445,14
tarde,2022-06-24T19:30:00,19446,63
manana,2022-06-25T12:55:00,19447,94
mediaTarde,2022-06-25T16:30:00,19448,79
tarde,2022-06-25T19:30:00,19449,84
manana,2022-06-26T12:55:00,19450,34
mediaTarde,2022-06-26T16:30:00,19451,22
tarde,2022-06-26T19:30:00,19452,9
manana,2022-06-27T12:55:00,19453,44
mediaTarde,2022-06-27T16:30:00,19454,88
tarde,2022-06-27T19:30:00,19455,94
manana,2022-06-28T12:55:00,19456,97
mediaTarde,2022-06-28T16:30:00,19457,89
tarde,2022-06-28T19:30:00,19458,89
manana,2022-06-29T12:55:00,19459,1
mediaTarde,2022-06-29T16:30:00,19460,46
tarde,2022-06-29T19:30:00,19461,96
manana,2022-06-30T12:55:00,19462,72
mediaTarde,2022-06-30T16:30:00,19463,88
tarde,2022-06-30T19:30:00,19464,85
manana,2022-07-01T12:55:00,19465,79
mediaTarde,2022-07-01T16:30:00,19466,50
tarde,2022-07-01T19:30:00,19467,18
manana,2022-07-02T12:55:00,19468,19
mediaTarde,2022-07-02T16:30:00,19469,3
tarde,2022-07-02T19:30:00,19470,18
manana,2022-07-03T12:55:00,19471,5
mediaTarde,2022-07-03T16:30:00,19472,22
tarde,2022-07-03T19:30:00,19473,19
manana,2022-07-04T12:55:00,19474,50
mediaTarde,2022-07-04T16:30:00,19475,44
tarde,2022-07-04T19:30:00,19476,97
manana,2022-07-05T12:55:00,19477,8
mediaTarde,2022-07-05T16:30:00,19478,93
tarde,2022-07-05T19:30:00,19479,55
manana,2022-07-06T12:55:00,19480,93
mediaTarde,2022-07-06T16:30:00,19481,74
tarde,2022-07-06T19:30:00,19482,20
manana,2022-07-07T12:55:00,19483,12
mediaTarde,2022-07-07T16:30:00,19484,2
tarde,2022-07-07T19:30:00,19485,45
manana,2022-07-08T12:55:00,19486,94
mediaTarde,2022-07-08T16:30:00,19487,94
tarde,2022-07-08T19:30:00,19488,77
manana,2022-07-09T12:55:00,19489,65
mediaTarde,2022-07-09T16:30:00,19490,25
tarde,2022-07-09T19:30:00,19491,10
manana,2022-07-10T12:55:00,19492,69
mediaTarde,2022-07-10T16:30:00,19493,20
tarde,2022-07-10T19:30:00,19494,79
manana,2022-07-11T12:55:00,19495,76
mediaTarde,2022-07-11T16:30:00,19496,61
tarde,2022-07-11T19:30:00,19497,64
manana,2022-07-12T12:55:00,19498,49
mediaTarde,2022-07-12T16:30:00,19499,76
tarde,2022-07-12T19:30:00,19500,0
manana,2022-07-13T12:55:00,19501,84
mediaTarde,2022-07-13T16:30:00,19502,69
tarde,2022-07-13T19:30:00,19503,51
manana,2022-07-14T12:55:00,19504,3
mediaTarde,2022-07-14T16:30:00,19505,87
tarde,2022-07-14T19:30:00,19506,10
manana,2022-07-15T12:55:00,19507,68
mediaTarde,2022-07-15T16:30:00,19508,30
tarde,2022-07-15T19:30:00,19509,63
manana,2022-07-16T12:55:00,19510,13
mediaTarde,2022-07-16T16:30:00,19511,47
tarde,2022-07-16T19:30:00,19512,77
manana,2022-07-17T12:55:00,19513,3
mediaTarde,2022-07-17T16:30:00,19514,20
tarde,2022-07-17T19:30:00,19515,39
manana,2022-07-18T12:55:00,19516,38
mediaTarde,2022-07-18T16:30:00,19517,55
tarde,2022-07-18T19:30:00,19518,56
manana,2022-07-19T12:55:00,19519,61
mediaTarde,2022-07-19T16:30:00,19520,36
tarde,2022-07-19T19:30:00,19521,26
manana,2022-07-20T12:55:00,19522,66
mediaTarde,2022-07-20T16:30:00,19523,57
tarde,2022-07-20T19:30:00,19524,1
manana,2022-07-21T12:55:00,19525,36
mediaTarde,2022-07-21T16:30:00,19526,36
tarde,2022-07-21T19:30:00,19527,59
manana,2022-07-22T12:55:00,19528,79
mediaTarde,2022-07-22T16:30:00,19529,69
tarde,2022-07-22T19:30:00,19530,46
manana,2022-07-23T12:55:00,19531,37
mediaTarde,2022-07-23T16:30:00,19532,8
tarde,2022-07-23T19:30:00,19533,68
manana,2022-07-24T12:55:00,19534,23
mediaTarde,2022-07-24T16:30:00,19535,46
tarde,2022-07-24T19:30:00,19536,4
manana,2022-07-25T12:55:00,19537,78
mediaTarde,2022-07-25T16:30:00,19538,96
tarde,2022-07-25T19:30:00,19539,15
manana,2022-07-26T12:55:00,19540,77
mediaTarde,2022-07-26T16:30:00,19541,6
tarde,2022-07-26T19:30:00,19542,69
manana,2022-07-27T12:55:00,19543,8
mediaTarde,2022-07-27T16:30:00,19544,25
tarde,2022-07-27T19:30:00,19545,72
manana,2022-07-28T12:55:00,19546,47
mediaTarde,2022-07-28T16:30:00,19547,99
tarde,2022-07-28T19:30:00,19548,4
manana,2022-07-29T12:55:00,19549,97
mediaTarde,2022-07-29T16:30:00,19550,69
tarde,2022-07-29T19:30:00,19551,56
manana,2022-07-30T12:55:00,19552,49
mediaTarde,2022-07-30T16:30:00,19553,18
tarde,2022-07-30T19:30:00,19554,50
manana,2022-07-31T12:55:00,19555,47
mediaTarde,2022-07-31T16:30:00,19556,9
tarde,2022-07-31T19:30:00,19557,41
manana,2022-08-01T12:55:00,19558,26
mediaTarde,2022-08-01T16:30:00,19559,10
tarde,2022-08-01T19:30:00,19560,59
manana,2022-08-02T12:55:00,19561,56
mediaTarde,2022-08-02T16:30:00,19562,94
tarde,2022-08-02T19:30:00,19563,75
manana,2022-08-03T12:55:00,19564,53
mediaTarde,2022-08-03T16:30:00,19565,30
tarde,2022-08-03T19:30:00,19566,53
manana,2022-08-04T12:55:00,19567,82
mediaTarde,2022-08-04T16:30:00,19568,59
tarde,2022-08-04T19:30:00,19569,33
manana,2022-08-05T12:55:00,19570,10
mediaTarde,2022-08-05T16:30:00,19571,85
tarde,2022-08-05T19:30:00,19572,84
manana,2022-08-06T12:55:00,19573,53
mediaTarde,2022-08-06T16:30:00,19574,47
tarde,2022-08-06T19:30:00,19575,48
manana,2022-08-07T12:55:00,19576,6
mediaTarde,2022-08-07T16:30:00,19577,49
tarde,2022-08-07T19:30:00,19578,70
manana,2022-08-08T12:55:00,19579,75
mediaTarde,2022-08-08T16:30:00,19580,34
tarde,2022-08-08T19:30:00,19581,10
manana,2022-08-09T12:55:00,19582,11
mediaTarde,2022-08-09T16:30:00,19583,18
tarde,2022-08-09T19:30:00,19584,91
manana,2022-08-10T12:55:00,19585,82
mediaTarde,2022-08-10T16:30:00,19586,85
tarde,2022-08-10T19:30:00,19587,28
manana,2022-08-11T12:55:00,19588,38
mediaTarde,2022-08-11T16:30:00,19589,89
tarde,2022-08-11T19:30:00,19590,45
manana,2022-08-12T12:55:00,19591,64
mediaTarde,2022-08-12T16:30:00,19592,90
tarde,2022-08-12T19:30:00,19593,53
manana,2022-08-13T12:55:00,19594,25
mediaTarde,2022-08-13T16:30:00,19595,8
tarde,2022-08-13T19:30:00,19596,69
manana,2022-08-14T12:55:00,19597,68
mediaTarde,2022-08-14T16:30:00,19598,32
tarde,2022-08-14T19:30:00,19599,11
manana,2022-08-15T12:55:00,19600,46
mediaTarde,2022-08-15T16:30:00,19601,69
tarde,2022-08-15T19:30:00,19602,56
manana,2022-08-16T12:55:00,19603,88
mediaTarde,2022-08-16T16:30:00,19604,27
tarde,2022-08-16T19:30:00,19605,24
manana,2022-08-17T12:55:00,19606,46
mediaTarde,2022-08-17T16:30:00,19607,10
tarde,2022-08-17T19:30:00,19608,56
manana,2022-08-18T12:55:00,19609,72
mediaTarde,2022-08-18T16:30:00,19610,22
tarde,2022-08-18T19:30:00,19611,86
manana,2022-08-19T12:55:00,19612,96
mediaTarde,2022-08-19T16:30:00,19613,26
tarde,2022-08-19T19:30:00,19614,76
manana,2022-08-20T12:55:00,19615,91
mediaTarde,2022-08-20T16:30:00,19616,76
tarde,2022-08-20T19:30:00,19617,52
manana,2022-08-21T12:55:00,19618,83
mediaTarde,2022-08-21T16:30:00,19619,87
tarde,2022-08-21T19:30:00,19620,11
manana,2022-08-22T12:55:00,19621,20
mediaTarde,2022-08-22T16:30:00,19622,41
tarde,2022-08-22T19:30:00,19623,12
manana,2022-08-23T12:55:00,19624,9
mediaTarde,2022-08-23T16:30:00,19625,12
tarde,2022-08-23T19:30:00,19626,28
manana,2022-08-24T12:55:00,19627,19
mediaTarde,2022-08-24T16:30:00,19628,33
tarde,2022-08-24T19:30:00,19629,45
manana,2022-08-25T12:55:00,19630,14
mediaTarde,2022-08-25T16:30:00,19631,28
tarde,2022-08-25T19:30:00,19632,48
manana,2022-08-26T12:55:00,19633,81
mediaTarde,2022-08-26T16:30:00,19634,89
tarde,2022-08-26T19:30:00,19635,34
manana,2022-08-27T12:55:00,19636,99
mediaTarde,2022-08-27T16:30:00,19637,30
tarde,2022-08-27T19:30:00,19638,9
manana,2022-08-28T12:55:00,19639,18
mediaTarde,2022-08-28T16:30:00,19640,25
tarde,2022-08-28T19:30:00,19641,3
manana,2022-08-29T12:55:00,19642,22
mediaTarde,2022-08-29T16:30:00,19643,5
tarde,2022-08-29T19:30:00,19644,58
manana,2022-08-30T12:55:00,19645,61
mediaTarde,2022-08-30T16:30:00,19646,24
tarde,2022-08-30T19:30:00,19647,60
manana,2022-08-31T12:55:00,19648,0
mediaTarde,2022-08-31T16:30:00,19649,22
tarde,2022-08-31T19:30:00,19650,59
manana,2022-09-01T12:55:00,19651,18
mediaTarde,2022-09-01T16:30:00,19652,34
tarde,2022-09-01T19:30:00,19653,74
manana,2022-09-02T12:55:00,19654,90
mediaTarde,2022-09-02T16:30:00,19655,55
tarde,2022-09-02T19:30:00,19656,39
manana,2022-09-03T12:55:00,19657,95
mediaTarde,2022-09-03T16:30:00,19658,20
tarde,2022-09-03T19:30:00,19659,39
manana,2022-09-04T12:55:00,19660,71
mediaTarde,2022-09-04T16:30:00,19661,10
tarde,2022-09-04T19:30:00,19662,87
manana,2022-09-05T12:55:00,19663,70
